title,url
"Show HN: The current sky at your approximate location, as a CSS gradient",https://sky.dlazaro.ca
Don Knuth on ChatGPT(07 April 2023),https://cs.stanford.edu/~knuth/chatGPT20.txt
Long-term exposure to outdoor air pollution linked to increased risk of dementia,https://www.cam.ac.uk/research/news/long-term-exposure-to-outdoor-air-pollution-linked-to-increased-risk-of-dementia
OpenFreeMap survived 100k requests per second,https://blog.hyperknot.com/p/openfreemap-survived-100000-requests
Simon Willison's Lethal Trifecta Talk at the Bay Area AI Security Meetup,https://simonwillison.net/2025/Aug/9/bay-area-ai/
A CT scanner reveals surprises inside the 386 processor's ceramic package,https://www.righto.com/2025/08/intel-386-package-ct-scan.html
Quickshell – building blocks for your desktop,https://quickshell.org/
MCP's Disregard for 40 Years of RPC Best Practices,https://julsimon.medium.com/why-mcps-disregard-for-40-years-of-rpc-best-practices-will-burn-enterprises-8ef85ce5bc9b
ChatGPT Agent – EU Launch,https://help.openai.com/en/articles/11752874-chatgpt-agent
ESP32 Bus Pirate 0.5 – A Hardware Hacking Tool That Speaks Every Protocol,https://github.com/geo-tp/ESP32-Bus-Pirate
Testing Bitchat at the music festival,https://primal.net/saunter/testing-bitchat-at-the-music-festival
Which Colors Are Primary?,https://jamesgurney.substack.com/p/which-colors-are-primary
Stanford to continue legacy admissions and withdraw from Cal Grants,https://www.forbes.com/sites/michaeltnietzel/2025/08/08/stanford-to-continue-legacy-admissions-and-withdraw-from-cal-grants/
The current state of LLM-driven development,http://blog.tolki.dev/posts/2025/08-07-llms/
End-User Programmable AI,https://queue.acm.org/detail.cfm?id=3746223
Accessibility and the Agentic Web,https://tetralogical.com/blog/2025/08/08/accessibility-and-the-agentic-web/
Cordoomceps – replacing an Amiga's brain with Doom,https://mjg59.dreamwidth.org/73001.html
Ratfactor's Illustrated Guide to Folding Fitted Sheets,https://ratfactor.com/cards/fitted-sheets
Jan – Ollama alternative with local UI,https://github.com/menloresearch/jan
"Debian 13 ""Trixie""",https://www.debian.org/News/2025/20250809
