comment,label
Worst video ever,toxic
This helped me a lot!,support
Can't believe people like this,toxic
You're amazing!,support
You're so dumb,toxic
Best tutorial I've seen,support
You sound horrible,toxic
Legend!,support
Clickbait title,toxic
Legend!,support
You sound horrible,toxic
Best tutorial I've seen,support
Waste of time,toxic
Awesome explanation,support
You're so dumb,toxic
Legend!,support
You sound horrible,toxic
Much appreciated!,support
You sound horrible,toxic
I learned a lot!,support
Can't believe people like this,toxic
Thanks for the content!,support
This is trash,toxic
Keep up the great work,support
This is trash,toxic
I learned a lot!,support
Stop making content,toxic
You're amazing!,support
Waste of time,toxic
So clear and helpful,support
Can't believe people like this,toxic
I learned a lot!,support
You're so dumb,toxic
Much appreciated!,support
This is trash,toxic
So clear and helpful,support
Worst video ever,toxic
Awesome explanation,support
Stop making content,toxic
So clear and helpful,support
You're so dumb,toxic
This helped me a lot!,support
Worst video ever,toxic
Much appreciated!,support
Stop making content,toxic
This helped me a lot!,support
Cringe content,toxic
Thanks for the content!,support
You're so dumb,toxic
Legend!,support
You sound horrible,toxic
I learned a lot!,support
Stop making content,toxic
Best tutorial I've seen,support
You're so dumb,toxic
Thanks for the content!,support
Waste of time,toxic
Much appreciated!,support
This is trash,toxic
Awesome explanation,support
Waste of time,toxic
So clear and helpful,support
You're such a loser,toxic
Thanks for the content!,support
Waste of time,toxic
Much appreciated!,support
You're so dumb,toxic
You're amazing!,support
You're so dumb,toxic
You're amazing!,support
Worst video ever,toxic
This helped me a lot!,support
Can't believe people like this,toxic
Much appreciated!,support
Can't believe people like this,toxic
Awesome explanation,support
Stop making content,toxic
You're amazing!,support
You sound horrible,toxic
You're amazing!,support
You're such a loser,toxic
This helped me a lot!,support
This is trash,toxic
Thanks for the content!,support
You sound horrible,toxic
You're amazing!,support
Stop making content,toxic
Keep up the great work,support
Clickbait title,toxic
I learned a lot!,support
Waste of time,toxic
Best tutorial I've seen,support
Waste of time,toxic
Thanks for the content!,support
Worst video ever,toxic
You're amazing!,support
Stop making content,toxic
So clear and helpful,support
You're such a loser,toxic
Thanks for the content!,support
